PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18,Hole19,Hole20,Hole21,Hole22,Hole23,Hole24,Hole25,Hole26,Hole27,Hole28,Hole29
Discer,Allaire State Park,Main,2022-04-24 12:08,80,20,5,4,4,4,3,4,3,7,7,6,4,4,3,3,5,4,4,6,,,,,,,,,,,
Par,Wolf Hill,Normal Course,2022-04-17 12:53,55,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,,,,,,,,,,,
Cjtheguardian,Wolf Hill,Normal Course,2022-04-17 12:53,56,1,3,3,2,3,4,3,3,4,3,3,4,3,2,2,3,5,3,3,,,,,,,,,,,
Par,Wolf Hill,Normal Course,2022-04-17 12:01,55,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,,,,,,,,,,,
Cjtheguardian,Wolf Hill,Normal Course,2022-04-17 12:01,61,6,3,3,4,3,4,3,4,3,3,3,5,3,4,2,3,4,2,5,,,,,,,,,,,
Par,Coyote Point at Lake Casitas,Main,2022-04-13 20:04,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Cjtheguardian,Coyote Point at Lake Casitas,Main,2022-04-13 20:04,60,6,3,3,4,3,3,3,3,3,3,3,3,3,4,4,4,4,3,4,,,,,,,,,,,
Patchwah,Coyote Point at Lake Casitas,Main,2022-04-13 20:04,62,8,2,3,3,4,3,5,3,3,2,3,5,4,4,4,4,3,3,4,,,,,,,,,,,
Alex,Coyote Point at Lake Casitas,Main,2022-04-13 20:04,81,27,4,5,4,5,4,4,4,4,4,4,5,6,5,5,5,4,3,6,,,,,,,,,,,
Par,Coyote Point at Lake Casitas,Main,2022-04-12 20:29,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Patchwah,Coyote Point at Lake Casitas,Main,2022-04-12 20:29,65,11,3,3,3,3,1,4,5,5,3,3,5,4,3,3,4,4,3,6,,,,,,,,,,,
Cjtheguardian,Coyote Point at Lake Casitas,Main,2022-04-12 20:29,69,15,5,4,3,3,3,4,4,4,3,3,3,6,4,3,5,4,4,4,,,,,,,,,,,
Alex,Coyote Point at Lake Casitas,Main,2022-04-12 20:29,77,23,5,4,4,6,4,5,5,4,3,4,3,5,5,4,4,5,3,4,,,,,,,,,,,
Par,Sapwi Disc Golf Course,Main Layout,2022-04-09 19:11,60,,3,4,3,3,3,3,3,3,3,3,4,3,5,3,4,3,3,4,,,,,,,,,,,
Cjtheguardian,Sapwi Disc Golf Course,Main Layout,2022-04-09 19:11,68,8,2,3,3,3,4,3,4,3,3,5,4,5,7,4,6,3,2,4,,,,,,,,,,,
Patchwah,Sapwi Disc Golf Course,Main Layout,2022-04-09 19:11,70,10,4,5,5,3,6,3,2,3,3,6,5,2,5,4,6,2,2,4,,,,,,,,,,,
Par,Rabbit Flats,Main,2022-04-09 17:40,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Patchwah,Rabbit Flats,Main,2022-04-09 17:40,59,5,4,3,3,3,3,3,3,3,4,3,3,4,4,3,3,5,3,2,,,,,,,,,,,
Cjtheguardian,Rabbit Flats,Main,2022-04-09 17:40,56,2,4,3,3,3,3,2,4,3,3,3,2,3,2,3,4,3,3,5,,,,,,,,,,,
Par,Rabbit Flats,Main,2022-04-08 20:33,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Cjtheguardian,Rabbit Flats,Main,2022-04-08 20:33,62,8,4,2,3,3,4,4,4,3,4,3,3,3,5,4,4,3,3,3,,,,,,,,,,,
Par,Coyote Point at Lake Casitas,Main,2022-04-03 16:00,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Cjtheguardian,Coyote Point at Lake Casitas,Main,2022-04-03 16:00,62,8,4,2,4,3,3,4,4,4,3,3,4,4,4,3,4,3,3,3,,,,,,,,,,,
Patchwah,Coyote Point at Lake Casitas,Main,2022-04-03 16:00,74,20,4,3,3,5,5,4,4,5,3,5,4,5,5,4,4,3,4,4,,,,,,,,,,,
Par,Coyote Point at Lake Casitas,Main,2022-04-01 20:08,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Patchwah,Coyote Point at Lake Casitas,Main,2022-04-01 20:08,63,9,3,3,4,3,4,4,4,4,2,4,3,5,4,3,4,3,3,3,,,,,,,,,,,
Cjtheguardian,Coyote Point at Lake Casitas,Main,2022-04-01 20:08,66,12,3,3,3,3,3,5,4,4,5,3,4,4,4,4,5,3,3,3,,,,,,,,,,,
Par,Coyote Point at Lake Casitas,Main,2022-03-30 20:34,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Cjtheguardian,Coyote Point at Lake Casitas,Main,2022-03-30 20:34,67,13,3,3,3,3,3,5,5,5,3,2,4,5,4,3,4,4,5,3,,,,,,,,,,,
Patchwah,Coyote Point at Lake Casitas,Main,2022-03-30 20:34,64,10,3,3,3,3,5,3,5,4,4,3,3,4,3,4,4,3,4,3,,,,,,,,,,,
Par,Mohawk,Main,2022-03-26 20:00,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Patchwah,Mohawk,Main,2022-03-26 20:00,63,9,4,5,3,4,5,3,3,3,4,3,3,3,3,2,4,4,4,3,,,,,,,,,,,
Cjtheguardian,Mohawk,Main,2022-03-26 20:00,61,7,4,4,4,3,6,3,3,3,4,2,3,3,3,3,5,2,3,3,,,,,,,,,,,
Par,Mohawk,Main,2022-03-26 18:25,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Patchwah,Mohawk,Main,2022-03-26 18:25,68,14,4,4,3,3,5,4,4,4,4,3,2,4,4,4,4,3,4,5,,,,,,,,,,,
Cjtheguardian,Mohawk,Main,2022-03-26 18:25,64,10,4,3,5,3,4,4,3,3,4,2,4,3,4,3,3,5,4,3,,,,,,,,,,,
Par,Coyote Point at Lake Casitas,Main,2022-03-23 20:29,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Cjtheguardian,Coyote Point at Lake Casitas,Main,2022-03-23 20:29,69,15,4,3,4,3,3,4,4,3,4,3,6,4,3,5,4,4,4,4,,,,,,,,,,,
Patchwah,Coyote Point at Lake Casitas,Main,2022-03-23 20:29,63,9,2,4,3,3,3,5,4,4,4,3,4,4,4,3,3,4,3,3,,,,,,,,,,,
Par,Coyote Point at Lake Casitas,Main,2022-03-21 20:03,54,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
